PartCode,OrganizationKey,ItemDescription,EuropumpBubbleNumber
*72LR58048F,1,?????|SUS316L|[*3X2 ????? SCH40 0]|????1||H11|?????,0
*72LS48034E,1,REDUCER,0
*7301935..A,1,????|SUS403|[*??????D39.69L47.5 2]|????1||H11|?????,0
*7390345M.A,1,???|FC250| D134 L123.5[?????]|????1||H11|?????,0
*7402120..C,1,???CSG|SUS420J2-HS31-39|I290 D335 L38|????1||H11|?????,0
*7403382..C,1,???????|STPT370|[*1/2B*280L SCH80 0]|????1||H11|?????,0
*7901276.3A,1,?????W|T#1804-EOO|I241.5 D256.5 T4.5|????1||H11|?????,0
*7901496..B,1,???????|SUS316|I69 D89.8 T22[1SET=2P]|????1||H11|?????,0
*7903005..A,1,???CSG|SUS420J2|[* HS>31]|????1||H11|?????,0
*7903559..A,1,???CSG|FC250|I240.6 D278 L36|????1||H11|?????,0
*79KR43550F,1,???|SUS316LTP-S|[*1-1/2B*1500 SCH40]|????1||H11|?????,0
*79KS21200D,1,PIPE,0
*73JA13000F,1,?????????RNG|T#1850C-G|[*NO.R13 0]|????1||H11|?????,0
*7405354M.A,1,???GOV|S25C|I44.83 D76 L43|????1||H11|?????,0
*7405523.3A,1,?????GOV/LEV|FC250||????1||H11|?????,0
*74LR48048E,1,??|SUS316L|[*2B SCH40 0]|????1||H11|?????,0
*7501085..A,1,SHAFT SLEEVE,0
*7503027..B,1,???????|A5056BE|I80.32 D114 L24|????1||H11|?????,0
*6A050368G055,1,?????BRG|SCPH2||????1||H11|?????,0
*6A050378F194,1,????????|STPG370-E||????1||H11|?????,0
*6A050382F194,1,????????|STPG370-E||????1||H11|?????,0
*6A050383F110,1,????|SFVC2A|[*2B ASME 150#RF/SO]|????1||H11|?????,0
*6A050390G055,1,???|SCPH2||????1||H11|?????,0
*6A050394G050,1,?????|SCPH1||????1||H11|?????,0
*71KN21210A,1,????|STPG370|[*NPT1/2X210L SCH80]|????1||H11|?????,0
*71KN21240A,1,????|STPG370|[*NPT1/2X240L SCH80]|????1||H11|?????,0
*7201125..A,1,"GASKET,SHEET",0
*72GX00068A,1,????|STEEL|[*AN09/10/11XL210]|????1||H11|?????,0
*72KJ2100AA,1,UNION,0
*7300461M.M,1,DIAPHRAGM,0
*6A050560G055,1,?????|SCPH2||????1||H11|?????,0
*6A050571E019,1,STUFFING BOX,0
*6A050583G015,1,COVER,0
*6A050587G055,1,IMPELLER,0
*6A050600E009,1,STUFFING BOX,0
*7801571..A,1,???|STEEL|[?????? ????????]|????1||H11|?????,0
*7900442M2B,1,"COVER,JACKET",0
*7901416M.T,1,CASING,0
*7901480..C,1,THROAT BUSHING,0
*7904512.1A,1,"PLATE,JACKET",0
*79KR43600G,1,???|SUS316LTP|[*1-1/2B*2000]|????1||H11|?????,0
*71KE21150A,1,????|STPG370|[*PT1/2X150L SCH80]|????1||H11|?????,0
*71KE21180A,1,????|STPG370|[*PT1/2X180L SCH80 0]|????1||H11|?????,0
*72LR43021D,1,?????|SUS316L|[*1-1/2X1/2?????SCH40]|????1||H11|?????,0
*72LR48043D,1,?????|SUS316L|[*2X1-1/2?????SCH40 0]|????1||H11|?????,0
*72LS43021E,1,?????|SUS316L|[*1-1/2X1/2?????SCH80]|????1||H11|?????,0
*7390059M.9,1,??|*||????1||H11|?????,0
*7800085M.C,1,????IMP|SUS316|B36 C41.6 L38|????1||H11|?????,0
*7800264M.A,1,????????|SUS304| D18 L8|????1||H11|?????,0
*7801440.4A,1,??????|T#6450|  T6|????1||H11|?????,0
*7801571.3A,1,????|STEEL| D2 L240|????1||H11|?????,0
*7801571.5A,1,????|SS400| D20 T1.6|????1||H11|?????,0
*7802056.1E,1,????????|STPT410|[*2-5????? 0]|????1||H11|?????,0
*6A050793G055,1,CASING,0
*6A050830G055,1,HOUSING,0
*70DX00007A,1,???BRG|SS400|[*AN07 D52 T8 2]|????1||H11|?????,0
*71KE13100D,1,????|SUS316TP|[*PT1/4X100L SCH80 0]|????1||H11|?????,0
*71KE21050C,1,????|SUS304TP|[*PT1/2X50L SCH80]|????1||H11|?????,0
*7503133M1A,1,???????|SNB7|[*M42*3X115LX65T 0]|????1||H11|?????,0
*7503643M2A,1,???????|SUS316|LH D103 L75|????1||H11|?????,0
*75295-264-MDL,1,PTFE Anti-extrusion washer,0
*75GX08000A,1,??????????|SS400|[*D7XW70XL205 0]|????1||H11|?????,0
*77KE27080D,1,???????|SUS316TP|[*PT3/4X80L SCH80 0]|????1||H11|?????,0
*77KF27050D,1,???????|SUS316TP|[*PT3/4X50L SCH160 0]|????1||H11|?????,0
*7405421..B,1,?????|T#1995|I110 D135 T0.8|????1||H11|?????,0
*7405524.3A,1,???GOV|SS400CR||????1||H11|?????,0
*7405539..A,1,??????|S25C|[*#231 /?????]|????1||H11|?????,0
*7406096.3A,1,?????GOV/LEV|FC250||????1||H11|?????,0
*7406147..B,1,?????S|T#1995|I200 D260 T0.4|????1||H11|?????,0
*74LR43043E,1,??|SUS316L|[*1-1/2B SCH40]|????1||H11|?????,0
*79KS21400D,1,PIPE,0
*79KS21950I,1,???|STPG370-S-C<0.23|[*1/2B*5500L 0]|????1||H11|?????,0
*79KS27050D,1,???|SUS316TP|[*3/4BX50L SCH80]|????1||H11|?????,0
*79KS27700O,1,"???|STPT370-S/??????|[3/4B*3000L,SCH80]|????1||H11|?????",0
*79KS27950P,1,???|STPG370-C<0.23|[*3/4B*5500L SCH80 0]|????1||H11|?????,0
*79KS34060D,1,???|SUS316TP|[*1BX60L SCH80]|????1||H11|?????,0
*7390059M1A,1,??|SCM440H||????1||H11|?????,0
*7400668..A,1,"RING,CASING",0
*7405404M.A,1,????????|SS400|[*??????????? #1939A]|????1||H11|?????,0
*7406180..A,1,????CRB/RNG|SS400||????1||H11|?????,0
*74LS58058D,1,T,0
*7500330.4A,1,HEAT INSULATING MATERIALS,0
*6A050470G050,1,?????|SCPH1||????1||H11|?????,0
*6A050475G055,1,?????BRG|SCPH2|[??????]|????1||H11|?????,0
*6A050476G055,1,?????BRG|SCPH2|[???????]|????1||H11|?????,0
*6A050496G055,1,?????|SCPH2||????1||H11|?????,0
*6A050497G055,1,?????BRG|SCPH2||????1||H11|?????,0
*6A050603E036,1,IMPELLER,0
*6A050611E019,1,DIFFUSER,0
*6A050619E009,1,CASING,0
*6A050643E006,1,IMPELLER,0
*6A050652G055,1,"BRACKET,BEARING",0
*7390269M.A,1,???????|SCM440H|D25 L210 |????1||H11|?????,0
*7390433M.A,1,????????|SUS316|W242 H150 L350|????1||H11|?????,0
*7401018M.A,1,FLINGER,0
*7405355..A,1,????THR|S25C|[*?????????????]|????1||H11|?????,0
*7405405.3A,1,???GOV|SS400|CR???  |????1||H11|?????,0
*7405408..A,1,????TRP/LEV|SUS403| D19 L174.5|????1||H11|?????,0
*77KP27130F,1,???????|SUS316LTP|[*NPT3/4X130L SCH160]|????1||H11|?????,0
*7803011..A,1,???LAG|SS400||????1||H11|?????,0
*7901274.6N,1,?????S|T#1120|I293 D304 T1.6|????1||H11|?????,0
*7902024M.C,1,"NUT,IMPELLER",0
*7902546..A,1,????BRG|SS400||????1||H11|?????,0
*7902548.1A,1,???|SS400|[*5A002272 ASS'Y .]|????1||H11|?????,0
*7900443M2B,1,"COVER,JACKET",0
*7900781M.C,1,????|SUS403|WC?? D73 L737|????1||H11|?????,0
*7902024M.N,1,???IMP|SUS403<RC22|B30 C34.6 L29|????1||H11|?????,0
*79KR43950F,1,???|SUS316LTP|[*1-1/2B*5500 0]|????1||H11|?????,0
*79KR48950G,1,???|STPT410-S C<0.23|[2B*5500L SCH40]|????1||H11|?????,0
*79KS13100B,1,PIPE,0
*74LS63043D,1,??|SUS316L|[*4B*1-1/2B SCH80]|????1||H11|?????,0
*7502296..A,1,????????|DURANICKEL|T4 W19 L120|????1||H11|?????,0
*7503029..B,1,????????|SUS316|I110 D140 L60|????1||H11|?????,0
*75GX05000A,1,??????????|SS400|[*D6.5XW51XL165]|????1||H11|?????,0
*7602620.1A,1,?????|SS400|[*????LAG?? 0]|????1||H11|?????,0
*7603004..A,1,???CSG|SUS316/?????|I173 D278 L54|????1||H11|?????,0
*79KR48800G,1,???|SUS316LTP-S|[*2B*4000L SCH40 0]|????1||H11|?????,0
*79KR48950F,1,???|SUS316LTP|[*2B/SCH40*5500L 0]|????1||H11|?????,0
*79KR58300F,1,???|SUS316LTP-S|[*3B*300LSCH 40 0]|????1||H11|?????,0
*79KS21080B,1,PIPE,0
*79KS21650C,1,PIPE,0
*79KS21800B,1,???|STPT370|[*1/2B*4000 0]|????1||H11|?????,0
*7501086M2C,1,"NUT,SLEEVE",0
*7502699..C,1,??????P|SCS14A|[*???????????? 0]|????1||H11|?????,0
*7602620.2A,1,?????|SS400|[*????LAG?? 0]|????1||H11|?????,0
*7704371M5A,1,???|STPG370|[*SCH40 5B X 260L 0]|????1||H11|?????,0
*77KF27080D,1,???????|SUS316TP|[*PT3/4X80L SCH160 0]|????1||H11|?????,0
*77KF27100D,1,???????|SUS316TP|[*PT3/4X100L SCH160 0]|????1||H11|?????,0
*6A050546F194,1,?????BRG|STPG370-E||????1||H11|?????,0
*6A050549C003,1,????????|SUS403||????1||H11|?????,0
*6A050604E036,1,IMPELLER,0
*6A050605E036,1,IMPELLER,0
*6A050641F194,1,"HOUSING,BEARING",0
*6A050642F194,1,"HOUSING,BEARING",0
*6A050720F029,1,COUPLING,0
*6A050724,1,COUPLING,0
*6A050729E015,1,IMPELLER,0
*6A050737E015,1,STAGE PIECE,0
*6A050739A013,1,STAGE PIECE,0
*6A050753F112,1,FLANGE,0
*7405420..A,1,???|SS400||????1||H11|?????,0
*7405611..A,1,????|SS400||????1||H11|?????,0
*7406168..A,1,????CRB/RNG|SUS403|I63.5 D139.7 T6.3|????1||H11|?????,0
*74LR63054A,1,T,0
*74LS43021E,1,??|SUS316L|[*1-1/2B*1/2B SCH80 0]|????1||H11|?????,0
*7501086M1C,1,"NUT,SLEEVE",0
*7903561..A,1,????DFM|SUS420J2|I110.8 D141 L162|????1||H11|?????,0
*7904512.AB,1,????JKT|SUS403||????1||H11|?????,0
*79KR34500A,1,???|STPG370|[*1B*1000]|????1||H11|?????,0
*79KR43700F,1,???|SUS316LTP|[*1-1/2B*3000 0]|????1||H11|?????,0
*79KR43750B,1,???|SUS316LTP-S|L3500  [1-1/2B*3500L SCH.40]|????1||H11|?????,0
*79KS13400B,1,PIPE,0
*7202853.1C,1,???????|C3604BE|I110.3 D140 T20|????1||H11|?????,0
*72LS43027D,1,?????|SUS316L|[*1-1/2X3/4?????SCH80]|????1||H11|?????,0
*7300060..C,1,?????S|T#1995|I151 D216 T1.0|????1||H11|?????,0
*73JA11000F,1,?????????RNG|T#1850C-G|[*NO.R11 0]|????1||H11|?????,0
*73LR58048D,1,?????|SUS316L|[*3X2 ???? SCH40 0]|????1||H11|?????,0
*7401015M.B,1,"GASKET,SHEET",0
*7701653..A,1,?????|C3604BE|I90.1 D110 T15|????1||H11|?????,0
*77KE17100C,1,PIPE OF THE SINGLE SCREW,0
*77KE21070B,1,PIPE OF THE SINGLE SCREW,0
*77KE27060A,1,PIPE OF THE SINGLE SCREW,0
*77KE27090D,1,???????|SUS316TP|[*PT3/4X90L SCH80 0]|????1||H11|?????,0
*77KN48150A,1,???????|STPG370|[*NPT2X150L SCH80]|????1||H11|?????,0
*79KS17200A,1,???|STPG370|[*3/8BX200L SCH80]|????1||H11|?????,0
*79KS21300H,1,???|SUS316LTP|[*1/2B*300L SCH80]|????1||H11|?????,0
*79KS21450B,1,PIPE,0
*79KS21550F,1,???|SUS316LTP|[*1/2BX1500L SCH80 0]|????1||H11|?????,0
*79KS21900A,1,???|STPG370|[*1/2B*5000L SCH.800]|????1||H11|?????,0
*79KS27073C,1,PIPE,0
*7802646..E,1,?????S|T#1995|I303 D368 T1.0|????1||H11|?????,0
*7900781M.E,1,SHAFT,0
*7901089M2A,1,????|STPG370|[*SCH80 PT3/8L70]|????1||H11|?????,0
*7901276.7C,1,?????W|T#1804-NA-EOO|I314.2 D329.8 T4.5|????1||H11|?????,0
*79KR43460A,1,???|STPG370|[*1-1/2B*800L SCH40 0]|????1||H11|?????,0
*79KR58500E,1,???|SUS316LTP|[*3B*1000L*SCH40 0]|????1||H11|?????,0
*79KS34070A,1,PIPE,0
*79KS34440D,1,PIPE,0
*79KS34950A,1,???|STPG370|[*1B*5500L]|????1||H11|?????,0
*79KT21135B,1,???|STPT370|[*1/2BX135L SCH160 0]|????1||H11|?????,0
*79KT21150B,1,PIPE,0
*79KT21250E,1,???|SUS316LTP|[*1/2BX250L SCH160 0]|????1||H11|?????,0
*6A050646G055,1,"BRACKET,BEARING",0
*6A050656G055,1,IMPELLER,0
*6A050661G055,1,CASING,0
*6A050704F029,1,STUFFING BOX,0
*6A050707F112,1,FLANGE,0
*6A050756E015,1,DIFFUSER,0
*6A050772F112,1,FLANGE,0
*6A050811F194,1,UPPER DROP PIPE,0
*6A050823G055,1,CASING,0
*6A050843G055,1,CASING,0
*70LR34000A,1,???????|STPT370|[*1B 90? SCH40]|????1||H11|?????,0
*7501339.2A,1,??|SUS304|[*1S??????????????? 0]|????1||H11|?????,0
*7502086..A,1,????BRG/BRK|SS400||????1||H11|?????,0
*7502760..A,1,??????|SCPH2||????1||H11|?????,0
*75KM27000A,1,????|SUS316|[*PT3/4X51L 0]|????1||H11|?????,0
*7604118.4A,1,??????|T#6450|  T6|????1||H11|?????,0
*7604276..A,1,?????|S20C|I12.5 D27 T12|????1||H11|?????,0
*7405588..B,1,?????S|T#1995|W227 H225 T0.8|????1||H11|?????,0
*74KM21000A,1,????|S25C|[*PT1/2X51L ????]|????1||H11|?????,0
*74LR58043D,1,??|SUS316L|[*3B*1-1/2B SCH40]|????1||H11|?????,0
*74LS48048B,1,T,0
*7502705..A,1,?????M|DEAD SOFT IRON|I22.2 D38.2 T3.2|????1||H11|?????,0
*7503026..C,1,?????S|T#1993|I151 D200 T0.8|????1||H11|?????,0
*7800028M.B,1,"HOUSING,BEARING",0
*7802056.6C,1,????????|SUS316|[*6-10?????]|????1||H11|?????,0
*7803010M.A,1,?????|SS400|[*M20 L108 0]|????1||H11|?????,0
*7806280..A,1,????|SS400||????1||H11|?????,0
*7900443M3B,1,"GASKET,SHEET",0
*7900782M.A,1,????|SCM440H|[*AC?? D73 L787 2]|????1||H11|?????,0
*79KS21500B,1,???|STPT370|[*1/2B*1000 0]|????1||H11|?????,0
*79KS21500E,1,PIPE,0
*79KS21700O,1,???|STPT410-S C<0.23|[1/2B*3000L SCH.800]|????1||H11|?????,0
*79KS27300C,1,???|SUS304TP|[*3/4B*300L SCH80]|????1||H11|?????,0
*79KS27550F,1,PIPE,0
*79KS27650C,1,PIPE,0
*79KS13300C,1,???|SUS304TP|[*1/4BX300L SCH80 0]|????1||H11|?????,0
*79KS13400A,1,PIPE,0
*79KS17200B,1,???|STPT370|[*3/8BX200L SCH80]|????1||H11|?????,0
*79KS21080H,1,PIPE,0
*79KS21300B,1,???|STPT370|[*1/2B*300L SCH80 0]|????1||H11|?????,0
*79KS21750B,1,PIPE,0
*79KS27200C,1,PIPE,0
*79KS27350B,1,PIPE,0
*79KS27350D,1,???|SUS316TP|[*3/4BX400L SCH80 0]|????1||H11|?????,0
*79KS27550B,1,PIPE,0
*79KS27600F,1,???|SUS316LTP|[*3/4B*2000L 0]|????1||H11|?????,0
*79KS27800G,1,???|SUS316LTP|[* 3/4B*4000L SCH80]|????1||H11|?????,0
*6A050716G055,1,STUFFING BOX,0
*6A050722,1,COUPLING,0
*6A050755E015,1,DIFFUSER,0
*6A050824G055,1,"HEAD,SUCTION",0
*6A050854G055,1,"BRACKET,BEARING",0
*6A050855F112,1,FLANGE,0
*79KT271500F,1,PIPE,0
*79KT27263C,1,PIPE,0
*79KT27300B,1,???|STPT370|[*3/4B*300L 0]|????1||H11|?????,0
*79KT27650B,1,PIPE,0
*79KT34130B,1,???|STPT370|[*1BX130L SCH160]|????1||H11|?????,0
*79KT34200B,1,???|STPT370|[*1BX200L SCH160]|????1||H11|?????,0
*71DX00019A,1,???BRG|SS400|[*AW19 D133 T1.8 2]|????1||H11|?????,0
*71KE13040A,1,NIPPLE,0
*71KE13050D,1,????|SUS316TP|[*PT1/4X50L SCH80]|????1||H11|?????,0
*71KE17150A,1,????|STPG370|[*PT3/8X150L SCH80 0]|????1||H11|?????,0
*71KE21075A,1,????|STPG370|[*PT1/2*75L SCH80]|????1||H11|?????,0
*71KN13120A,1,????|STPG370|[*NPT1/4X120L SCH80 0]|????1||H11|?????,0
*7701133..A,1,????|SS400||????1||H11|?????,0
*77KE21130B,1,PIPE OF THE SINGLE SCREW,0
*77KP21060B,1,PIPE OF THE SINGLE SCREW,0
*7901957M.C,1,???BRG|SS400|[*???? 0]|????1||H11|?????,0
*7902050M.A,1,SHAFT,0
*7902550..B,1,?????S|T#1995|I66 D93 T1.0|????1||H11|?????,0
*7503133M2A,1,???????|SNB7|[*M42*3X135LX65T 0]|????1||H11|?????,0
*75GX07000A,1,FACE SPANNER WRENCH,0
*7601171..A,1,"RING,CASING",0
*7604120.4A,1,??????|T#6458|[*???????????? T6 0]|????1||H11|?????,0
*7703139M.A,1,????????|SS400|W65 L65 T19|????1||H11|?????,0
*77KD54150F205,1,PIPE OF THE SINGLE SCREW,0
*7902548.2A,1,???|STPG370|I52 D55 L133|????1||H11|?????,0
*7904361..A,1,???LAG|SS400|[*3B?????? 0]|????1||H11|?????,0
*79KS21500D,1,???|SUS316TP|[*1/2B*1000]|????1||H11|?????,0
*79KS21950A,1,???|STPG370|[*1/2B*5500L SCH80]|????1||H11|?????,0
*79KS27300B,1,???|STPT370|[*3/4B*300L SCH80 0]|????1||H11|?????,0
*79KS27480B,1,PIPE,0
*79KS21900B,1,???|STPT370|[*1/2B*5000L SCH.800]|????1||H11|?????,0
*79KS27070A,1,PIPE,0
*79KS27100B,1,???|STPT370|[*3/4BX100L SCH80]|????1||H11|?????,0
*79KS27900B,1,???|STPT370|[*3/4BX5000L SCH80]|????1||H11|?????,0
*79KS34120B,1,???|STPT370|[*1BX120L SCH80]|????1||H11|?????,0
*79KS34130B,1,???|STPT370|[*1BX130L SCH80]|????1||H11|?????,0
*79KS27700N,1,"???|STPT410-S C<0.23|[3/4B*3000L,SCH80]|????1||H11|?????",0
*79KS27950I,1,???|STPG370ZN|[*3/4B*5500L SCH80 0]|????1||H11|?????,0
*79KS34200D,1,???|SUS316TP|[*1BX200L SCH80 0]|????1||H11|?????,0
*79KS43070F,1,PIPE,0
*79KS43080B,1,???|STPT370|[*1-1/2BX80L SCH80]|????1||H11|?????,0
*79KS43400B,1,PIPE,0
*79KS27250B,1,PIPE,0
*79KS27550C,1,PIPE,0
*79KS27700I,1,???|SUS316LTP|[*3/4B*SCH80*3000L 0]|????1||H11|?????,0
*79KS27950C,1,???|SUS304TP|[*3/4B*5500L 0]|????1||H11|?????,0
*79KS27950D,1,???|SUS316TP|[*3/4B*5500L 0]|????1||H11|?????,0
*79KS34050B,1,???|STPT370|[*1BX50L SCH80 0]|????1||H11|?????,0
*79KT34600B,1,???|STPT370|[*1B*2000L SCH160]|????1||H11|?????,0
*79KT34700H,1,???|STPT410-S C<0.23|[1BX3000L SCH160]|????1||H11|?????,0
*79KT43950J,1,"???|STPT410-S C<0.23|[1-1/2B*5500L,SCH160]|????1||H11|?????",0
*7A000570D,1,IMPELLER,0
*7A000609U,1,CASING,0
*7A000637X,1,IMPELLER,0
*70DX00016A,1,"NUT,BEARING",0
*70DX00018A,1,???BRG|SS400|[*AN18 D120 T16 2]|????1||H11|?????,0
*70DX00022A,1,???BRG|SS400|[*AN22 D145 T19 2]|????1||H11|?????,0
*71DX00012A,1,???BRG|SS400|[*AW12 D86 T1.5 2]|????1||H11|?????,0
*71DX00024A,1,???BRG|SS400|[*AW24 D164 T2 2]|????1||H11|?????,0
*71KE17040A,1,????|STPG370|[*PT3/8X40L SCH80]|????1||H11|?????,0
*7390059M2A,1,????|S25C||????1||H11|?????,0
*7390059M3A,1,????|S25C||????1||H11|?????,0
*7390123..B,1,???ECR|FCD450||????1||H11|?????,0
*73JA20000F,1,"GASKET,FLANGE RING",0
*73LR58043D,1,?????|SUS316L|[*3*1-1/2 ????SCH40]|????1||H11|?????,0
*74KM21000E,1,UNION,0
*79KS27950A,1,PIPE,0
*79KS34140B,1,???|STPT370|[*1BX140L SCH80 0]|????1||H11|?????,0
*79KS43060F,1,???|SUS316LTP|[*1-1/2BX60L SCH80]|????1||H11|?????,0
*79KS43800B,1,???|STPT370|[*1-1/2B*4000L]|????1||H11|?????,0
*79KS48500B,1,PIPE,0
*79KT21070B,1,???|STPT370|[*1/2BX70L SCH160]|????1||H11|?????,0
*7903007..A,1,???CSG|SUS420J2|[* HS>31]|????1||H11|?????,0
*7904628M.A,1,??????|SCM435H||????1||H11|?????,0
*79KA21700B,1,PIPE,0
*79KA27600B,1,???|SGPW|[*3/4B*2000 0]|????1||H11|?????,0
*79KS21070A,1,PIPE,0
*79KS21450C,1,???|SUS304TP|[*1/2B*750L 0]|????1||H11|?????,0
*77KE13030B,1,PIPE OF THE SINGLE SCREW,0
*77KE21170B,1,PIPE OF THE SINGLE SCREW,0
*77KF21050D,1,???????|SUS316TP|[*PT1/2X50L SCH160 0]|????1||H11|?????,0
*77KF21100B,1,PIPE OF THE SINGLE SCREW,0
